id,vi,cn
49,"Bức thư viết cho chính mình số 049 Tất cả chúng ta đều nỗ lực phấn đấu để sống theo cách riêng của mình. Mười tuổi, hai mươi tuổi, ba mươi tuổi ở những môi trường và trạng thái tâm lí khác nhau, nhận thức cũng sẽ có sự thay đối, chúng ta sẽ hiểu rằng không có ai tốt hay xấu, đây chính là sự trưởng thành. Chúng ta đã từng có rất nhiều lựa chọn, những lựa chọn sau cùng sẽ quyết định toàn bộ vận mệnh.",写给自己的第49封信 我们都按自己的方式努力生活着， 三十岁， 二十岁、 十岁、 不同的环 境和心境下，领悟都会改变， 我们都曾经有 没有谁好谁坏， 这就是成长。 到最后的都是各自性格的宿命。 过无数的选择，
50,"Bức thư viết cho chính mình số 050 Phải tin rằng tất cả mọi người sẽ đến đúng nơi mình cần đến, miễn là họ đã cố gắng và nỗ lực hết mình. Vì vậy, mỗi ngày bạn hãy yêu quý mình hơn một chút, mỗi ngày, bạn hãy tiến về mục tiêu phía trước xa hơn một chút.",写给自己的第50封信 只要我们努力过。 要坚信每个人都会到达对的地方， 请每一天 所以， 都向着自己的目标， 更喜欢自己一些， 每一天， 前进一点。
51,Bức thư viết cho chính mình số 051 bất cứ thứ gì mình thích.,写给自己的第51封信 现在的拼命努力， 不过是让自己日后有想要就买的魄力。
52,"Bức thư viết cho chính mình số 052 Nếu bản thân đang không cố gắng hết sức, thì bạn không có tư cách để chỉ trích người khác không cố gắng. Việc mở miệng oán trách quá ư đơn giản, nhưng người cố gắng để có thế “khóa miệng lại” mới chính là những người xứng đáng được tôn trọng.",写给自己的第52封信 如果自己没有尽力， 就没有资格批评别人不用心。 开口抱怨很容易， 但是闭嘴努力的人， 更加值得尊敬。
53,"Bức thư viết cho chính mình số 053 Không ai quan tâm bạn phải bỏ ra bao nhiêu công sức, cố gắng có mệt mỏi hay không, họ sẽ chỉ nhìn thấy vị trí sau cùng của bạn. Sau đó, họ lập tức tỏ ra ghen tị hoặc khinh thường dè bỉu bạn.",写给自己的第53封信 没有人会关心你付出过多少努力， 撐得累不累， 摔得痛不痛， 他们只 然后羡慕或鄙夷。 会看你最后站在什么位置，
54,"Bức thư viết cho chính mình số 054 Những bộ quần áo bạn thoạt nhìn lần đầu đã thích thường là những bộ bạn không có đủ tiền mua, những người bạn thích từ ánh nhìn đầu tiên thường là không hề thích bạn. Những thứ bạn thực sự muốn, không có thứ gì dễ dàng có thể có được. Đó chính là động lực cố gắng của bạn.",写给自己的第54封信 第一眼就心动的人往往他不会喜 第一眼就看上的衣服往往你买不起， 这就是努力的 你真正喜欢想要的， 是可以轻易得到的。 没有一样， 欢你。 理由。
55,"Bức thư viết cho chính mình số 055 Bất cứ điều gì cũng không chỉ có một kết quả duy nhất. Cơ hội thoát khỏi đường hầm đầy hiểm nguy và bóng tối chỉ thuộc những con người dù chỉ còn chút hơi thở cuối cùng vẫn nỗ lực tiến về phía trước tìm kiếm lối ra sinh tồn. Chính vì sự cố chấp ngớ ngẩn bất chấp kết quả ra sao đó mới khiến cho cuộc sống luôn tồn tại vô vàn những điều “có thể”. Bạn chỉ cần chạy, đem mọi sức lực dồn vào đôi bàn chân, đem mọi ánh nhìn tập trung về phía trước, chạy từng bước vững chắc về phía trước. Chỉ bằng duy nhất cách này, bạn mới không bị những cái gọi là “điểm cuối” giới hạn bản thân. Hãy thử tìm đến điểm giới hạn đầy bất ngờ nhất trong cuộc đời bạn xem sao.",写给自己的第55封信 那些柳暗花明处的机会， 只属于心无 任何事情都不会只有一个结局， 正是这种不计结果的傻气， 才让生 凭着一腔热爱就敢往前冲的人， 旁骛、 将全部力量集中于脚下， 只需要奔跑， 活充满了更多的可能性。 将全部的 你才能不被所谓 只有这样， 一步步无比坚定地跑下去。 目光聚焦在前方， 终点牵绊住脚步， 得以和生命中最惊喜的际遇相逢。
56,"Bức thư viết cho chính mình số 056 Con đường thành công không có con tàu cao tốc nào cả, dẫn tới hạnh phúc cũng không có con đường tắt nào cả. Tất cả thành công, thực ra đều đến từ những nỗ lực không mệt mói, tất cả hạnh phúc, thự ra đều đến từ sự phấn đấu không mệt mỏi và sự kiên trì không gì lay chuyển được.",写给自己的第56封信 都来自不倦的努力 所有的成功， 幸福没有高速路。 成功没有快车道， 都来自平凡的奋斗和坚持。 所有幸福， 和奔跑；
57,"Bức thư viết cho chính mình số 057 Hào quang của thành công không bao giờ chiếu rọi vào những con người chí biết chờ đợi và chờ đợi. Cho dù bạn xuất thân ra sao, nghèo đói hay giàu có, Chúa chúng ta, nó luôn thích những người chủ @ríg và không chờ đợi, vì họ luôn có sự chuấn bị sẵn sàng cho mọi tình huống xảy ra.",写给自己的第57封信 成功的光环从来不戴在那些只知等待的人们头上， 上帝给每个人以相- 无论你是怎样的出身， 等的机会， 成功不会自动 不管你是贫是富。但是， 它总是喜欢那些主动出击、 来到我们身边， 从不等待的人， 因为他们时刻 做好了一切准备。
58,"Bức thư viết cho chính mình số 058 Thực ra, cuộc sống của mỗi người chúng ta đều là một thế giới riêng, ngay cả những người tầm thường nhất cũng có thế giới riêng mà họ muốn phấn đấu nỗ lực. . Nếu nói như vậy, trong thế giới tưởng như tầm thường ấy, sẽ không có một ngày nào được gọi là “ngày yên bình”.",写给自己的第58封信 我们每个人的生活都是一个世界， 即使最平凡的人也要为他生 其实， 也没有一 在这些平凡的世界里， 从这个意义上说， 活的那个世界而奋斗。 天是平静的。
59,"Bức thư viết cho chính mình số 059 chịu trách nhiệm to lớn và chấp nhận mức lương không xứng với khối lượng công Chí lo bạn không xứng đáng với trái tìm đầy nhiệt huyết của mình lúc này, phụ lại ý nghĩa của những gian nan vất vả kia. Bạn đừng vì một lần thất bại, mà đánh mất đi mục đích cuối cùng mà ban đầu bạn đã đặt ra nhé.",写给自己的第59封信 承担着渐长的 是人生最艰苦的一段岁月，- 二十岁到三十岁这个阶段， 不情愿地建 拿着与工作量不匹配的薪水， 艰难地权衡事业和感情， 责任， 但你总得撑 好像在这个不知所措的年纪一切都那么不尽如人意， 立人脉， 也辜负了所受的苦难， 不要只因一次挫 只怕你配不上自己的野心， 下去， 就迷失了最初想抵达的远方。
60,"Bức thư viết cho chính mình số 060 Thành công vốn chẳng có bí quyết to tát nào cả, nếu có, chỉ là hai thứ: Thứ nhất là sự kiên trì đến cuối cùng, không bao giờ bỏ cuộc; thứ hai là khi bạn muốn bỏ cuộc, hãy quay lại để hoàn thành điều thứ nhất.",写给自己的第60封信 第一个是坚持到底， 就只有两个： 如果有的话， 成功根本没有秘诀， 请回过头来再照着第一个秘诀 第二个就是当你想放弃的时候， 永不放弃； 去做。
61,"Bức thư viết cho chính mình số 061 Bạn thấy một con người đang tràn đầy sức sống, thực ra họ cũng đã từng có một khoảng thời gian trầm tĩnh của mình. Thời gian đó, họ đã rất nỗ lực, chịu đựng sự cô độc và trống trải, không oán than, không kêu ca. Trong tương lai khi kế lại, thậm chí họ cũng bị chính câu chuyện về bản thân này làm cho cảm động rơi lệ!",写给自己的第61封信 都有一段沉默的时光。 每一个有底气的人， 是付出了很 那一段时光， 多努力， 连自己都能被 忍受孤独和寂寞， 日后说起时， 不抱怨、 不诉苦， 感动的日子！
62,"Bức thư viết cho chính mình số 062 Bạn không quá thông minh, cũng không dậy sớm hơn người khác, đã dậy muộn vẫn còn ngủ trưa, ngủ trưa rồi mà vẫn còn ngủ say không muốn dậy, cứ ngủ rồi lại nghĩ: Thôi thì vui vẻ chơi nốt rồi ngày mai cố gắng sau. Đôi khi điều đáng sợ nhất không phải là bạn đã chậm hơn người khác bao xa, mà là ngay trong bạn đã không còn có ý nghĩ cần phải bắt kịp mgưỄri khác.",写给自己的第62封信 你起得晚还睡午觉， 你睡午觉还久睡 你不太聪明， 还没别人起得早，- 睡着你还惦记着今天好好玩明天开始努力。 有时候最怕的不是你在 不起， 而是你连奋起直追的心都没有。 路上都慢别人几拍，
63,"Bức thư viết cho chính mình số 063 Bạn không thể không ép buộc mình phải trở nên giỏi hơn nữa bởi vì đẳng sau có rất nhiều người còn đang chờ đợi để đem bạn ra làm trò cười. Vì vậy, bạn phải ơn sự “ác độc” đó của chính mình ngày hôm nay, đồng thời oán hận con người đã tự ti lười biếng của hôm nay. Mong bạn có thể sống “sâu” trong thế giới tình người đầy “mong manh” này. hẽn hão.",写给自己的第63封信 因为身后许多贱人等着看你的笑话。 你不得不逼着自己更优秀， 所以 再过五年你将会感谢今天发狠的自己、 要对自己狠一点， 逼自己努力， 恨 透今天懒惰自卑的自己。愿你在薄情的世界里深情地活着。
64,"Bức thư viết cho chính mình số 064 phố mua sắm của bạn. Người đến, rồi người đi, bạn vẫn có thể sống tốt được.",写给自己的第64封信 才养得起自己这个爱吃的胃，- 然后多挣钱， 你只有好好努力， 爱玩儿 爱逛爱买的习惯。 也能生活得很好。 一个人来， 的心， 一个人往，
